n_agents,seed,height,k_line,q_line,k_lines,q_lines,k_domain,q_domain,u_mean,u_from_flux,stopped_frac,segregation_raw,segregation_null,segregation_excess,contacts_per_ant_per_s,contacts_per_transit,n_transits,mean_duration,median_duration,T0,delta_T,d_contact,q_domain_std,q_domain_sem,q_lines_std,q_lines_sem,q_line_std,q_line_sem,contacts_per_transit_std,contacts_per_transit_sem,mean_duration_std,mean_duration_sem,delta_T_std,delta_T_sem,u_std,u_sem,n_seeds
110,2.5,10.0,11.148995148995148,8.090277777777777,11.136966636966639,8.077380952380953,11.0,8.05820115407308,7.597250779469808,7.325637412793708,0.0061236061236061,0.20432900432900425,0.19438466295609147,0.009944341372912783,1.5530145530145532,8.288562310141323,172.83333333333334,0.15866473714957421,0.15,1.5570782852564837,0.1372924953522923,2.5,0.11418995070896379,0.04661785216508725,0.11040022018447279,0.04507070115714508,0.1943948349412914,0.07936135903978703,1.4204931948999382,0.5799139184334507,0.001777024058782953,0.0007254670341112957,0.009448853049969431,0.003857478104494278,0.10380904609905825,0.04237986560462488,6
120,2.5,10.0,12.704781704781704,8.5,12.127116127116127,8.485119047619047,12.0,8.493577321370443,7.352191050847371,7.0779811011420355,0.0050242550242549835,0.19433106575963713,0.18404761904761902,0.010283446712018134,1.5895703395703393,9.213645058114068,178.5,0.16053544473047468,0.15,1.542882239901628,0.14756748227130045,2.5,0.05378256106447357,0.021956638611339657,0.04544906944957421,0.018554504905962055,0.1806623615723232,0.07375510026306525,0.8563389458852321,0.3495989107152725,0.0016379224893497712,0.000668679056189359,0.006635993319853336,0.0027091329283597393,0.04481880088706105,0.018297198842782938,6
130,2.5,10.0,12.822938322938322,8.791666666666666,13.032224532224532,8.791666666666668,13.0,8.806204477945963,7.04430095354716,6.774003444573818,0.008049469587931067,0.1951334379905808,0.17956043956043952,0.015572998430141267,1.6086678394370704,9.327684698196725,187.83333333333334,0.1651459468177932,0.15,1.645864707650628,0.13399478245187574,2.5,0.12435764112877155,0.050768794396939564,0.12457410438366856,0.05085716515069952,0.18819316317727022,0.07682953714410738,0.5126273019045746,0.20927921964764518,0.003515997420469293,0.001435399936181941,0.026561620411106594,0.010843736124784318,0.09565972394520869,0.03905291876687651,6
140,2.5,10.0,13.607415107415108,9.055555555555555,14.129096129096128,9.100198412698413,14.0,9.090964953104654,6.761339902877808,6.4935463950747545,0.010617760617760567,0.1810981535471331,0.17427599611273079,0.006822157434402318,1.6531531531531531,9.97364788971604,189.33333333333334,0.16941596450634533,0.15,1.555764432073967,0.14571367167503158,2.5,0.12319744212550351,0.05029514513725752,0.1062406903128718,0.0433725801979306,0.18002057495577367,0.07349309197401631,0.8962189346956791,0.3658798479708555,0.004411848043065479,0.0018011294213678211,0.02497103243564701,0.010194381302970566,0.08799817294678772,0.035925103669469445,6
150,2.5,10.0,14.176022176022174,9.326388888888888,14.87006237006237,9.370039682539682,15.0,9.384971459706625,6.526321490605672,6.256647639804417,0.013120813120813068,0.17596371882086168,0.17047619047619045,0.005487528344671216,1.6745206745206744,10.144487948721293,193.16666666666666,0.17305885420760667,0.15,1.595738533029983,0.14094793635531308,2.5,0.12563482173312462,0.051290201195280306,0.08645649774026086,0.035295717401954335,0.07645199413623857,0.031211395908672675,0.6622445139257326,0.2703601906792522,0.003221039441261118,0.001314983845411528,0.009272061666019188,0.003785303324227851,0.08375654782208303,0.034193467463520186,6
160,2.5,10.0,16.876645876645878,9.604166666666666,15.885308385308385,9.60515873015873,16.0,9.616512934366861,6.27562141418457,6.010320583979289,0.016703482328482285,0.15799319727891153,0.16655612244897952,-0.008562925170067967,1.7048250173250175,11.346975817832188,195.83333333333334,0.1760739962990566,0.15,1.5717775732237582,0.15308282991976138,2.5,0.15068936267538893,0.06151867470331658,0.174138089096194,0.07109157717816506,0.2798188898396801,0.11423558341654541,0.6157838394078224,0.2513926997335175,0.006360769926814451,0.002596773448655951,0.012053420443176305,0.004920788290168904,0.09418085167211775,0.03844917168957272,6
170,2.5,10.0,16.347539847539846,9.70138888888889,17.12706662706663,9.764880952380954,17.0,9.776013692220053,6.010598421096802,5.750596289541207,0.0238473767885532,0.15454181672669062,0.1599039615846338,-0.005362144857943151,1.7208430149606622,11.245806743804552,200.16666666666666,0.18306919930005308,0.15,1.6778038784199802,0.14642358723466717,2.5,0.061275594441024095,0.025015656677705073,0.0765754781563604,0.03126180804878702,0.12195361899175061,0.04978735646926349,0.19879950780112426,0.08115955920486638,0.0035032623253118495,0.0014302008553550203,0.01278163189069733,0.0052180793687155785,0.03604446731824926,0.014715092163355842,6
180,2.5,10.0,18.972279972279974,10.034722222222221,17.974012474012472,10.010912698412698,18.0,10.00490172704061,5.818657875061035,5.558278737244783,0.024589974589974552,0.15030234315948596,0.15517006802721084,-0.004867724867724833,1.7376607376607378,12.77832674326942,202.5,0.18591271491388991,0.15833333333333333,1.5223619085279931,0.16133467798251547,2.5,0.19760911990511337,0.08067358538133106,0.208330498846932,0.08505057000574377,0.19617287349757742,0.08008724024076964,2.074002609517154,0.8467080197529689,0.006097222667109085,0.0024891807304247993,0.03598708395712506,0.014691665504275817,0.10978284439172986,0.04481865854518401,6
190,2.5,10.0,18.92792792792793,10.229166666666666,19.245421245421245,10.195436507936508,19.0,10.1751495997111,5.61093799273173,5.3553418945847895,0.028544333807491648,0.14525599713569634,0.15302542069459357,-0.007769423558897217,1.758288653025495,12.748253981732114,208.33333333333334,0.18944055091060982,0.17500000000000002,1.6880974856661297,0.15145072226414005,2.5,0.09886071612433558,0.04035971835179326,0.10835404476707332,0.04423535354100257,0.2323640582266445,0.09486222953627314,0.5797606621500643,0.23668629920096101,0.0037813075745152147,0.001543712353013893,0.014369203557577682,0.005866202787708347,0.05203195585491323,0.021241957027259513,6
200,2.5,10.0,20.588011088011086,10.305555555555555,20.205524205524206,10.297619047619047,20.0,10.284211953481039,5.3933242956797285,5.1421059767405195,0.037092862092862035,0.13136054421768703,0.14865986394557817,-0.0172993197278911,1.7646569646569645,13.633098652827437,209.66666666666666,0.19664137821519745,0.20000000000000004,1.4174181001610648,0.17403211181112074,2.5,0.10854244523926207,0.04431226771169621,0.12710807442894498,0.051891654089770256,0.1838376900863812,0.07505142270059058,2.1533818269655254,0.8791144495746258,0.005211414387623746,0.0021275510146461737,0.02730149074656956,0.011145786924401997,0.05427122261963085,0.022156133855848026,6
205,2.5,10.0,20.21171171171171,10.180555555555555,20.778784278784283,10.216269841269842,20.5,10.228119214375814,5.233525196711223,4.989326446036983,0.043900748778797516,0.13021403683424584,0.14709142193462746,-0.016877385100381566,1.7696195257170866,13.50527282186696,202.33333333333334,0.2028427420698695,0.20000000000000004,1.6668233601742628,0.15923253569385387,2.5,0.18381421106247015,0.07504183742921713,0.20324279609564838,0.08297352405514395,0.269601901301132,0.11006451531199427,1.4075903333747544,0.5746463472737025,0.006021537201051552,0.0024582822682938507,0.026435124806711886,0.010792094510538985,0.08966546881096102,0.036605774355715666,6
215,2.5,10.0,22.995495495495494,10.180555555555555,22.007078507078507,10.232142857142856,21.5,10.2486146291097,5.004344940185547,4.766797501911489,0.05143193282728162,0.12089859199493745,0.14490112323999363,-0.02400253124505612,1.7764025205885672,15.78306901854775,195.16666666666666,0.2110413806253392,0.20000000000000004,1.5597668828128688,0.17884089670583006,2.5,0.17256770553267625,0.0704504707729864,0.18121065528081268,0.07397894023222816,0.24532669073132868,0.10015420209622176,2.1877647575242953,0.8931512221963813,0.006674873676021526,0.002725005767298029,0.02444754789768751,0.009980669635264333,0.08026404908496589,0.03276766082464491,6
225,2.5,10.0,28.345460845460845,10.243055555555555,23.06162756162756,10.22123015873016,22.5,10.19694217046102,4.761360168457031,4.531974297982675,0.0649310849310849,0.12163265306122445,0.14021466364323504,-0.018582010582010564,1.7864633864633863,18.292691025059217,195.33333333333334,0.2227535076816787,0.20000000000000004,1.4258074151611722,0.1919472133980947,2.5,0.18883230813658067,0.07709046698110446,0.17261562667655578,0.0704700344980523,0.2831085709811041,0.11557859011870296,5.8017853447785885,2.368568948644153,0.007637135934402376,0.0031178476892599074,0.03306657263396425,0.013499371749315063,0.0839254702829245,0.03426242976937967,6
235,2.5,10.0,24.57172557172557,10.458333333333334,23.351103851103854,10.387896825396826,23.5,10.36987050374349,4.639477252960205,4.412710852656804,0.06501526075994159,0.11613837024171368,0.13614705456650741,-0.0200086843247937,1.801978738148951,15.813927786318962,204.16666666666666,0.22169940813387265,0.20000000000000004,1.5515173440542138,0.1744766450208546,2.5,0.1844768913203082,0.07531237551160366,0.2225081423090007,0.09083856871193949,0.17873008824606024,0.07296625298090946,3.2531722828043983,1.3281020230393183,0.005867123195922127,0.0023952430146760846,0.03392264565560347,0.013848862096911507,0.07850080481715228,0.03204781936663981,6
245,2.5,10.0,21.954261954261952,10.291666666666666,25.284278784278783,10.273809523809526,24.5,10.248705863952637,4.399883031845093,4.183145250592912,0.08922596065453203,0.1155074274607802,0.13368874080244342,-0.01818131334166315,1.8341606913035484,14.88022180654538,198.5,0.23752943062577245,0.20000000000000004,1.7992137134806148,0.1606226350141434,2.5,0.10240457147099535,0.04180649123871833,0.11406228159050985,0.0465657314657334,0.12076147288491243,0.04930066485916365,3.592569281763692,1.4666602676530154,0.004884696747348868,0.0019941690965395676,0.011197377808022067,0.004571310347803006,0.04179778427387563,0.017063873974987064,6
250,2.5,10.0,19.583506583506587,10.11111111111111,24.90698940698941,10.162698412698413,25.0,10.188041845957438,4.287903229395549,4.075216738382975,0.09493555093555088,0.10506122448979589,0.13312653061224486,-0.028065306122448935,1.8355093555093556,13.993281842724286,199.16666666666666,0.24292380137974778,0.20000000000000004,1.781268765349575,0.15523749018317146,2.5,0.14682876444481047,0.059942592075515104,0.16416777455109147,0.06702121330973997,0.18383769008638084,0.07505142270059044,2.9609310757714296,1.208795049865013,0.007072957850912493,0.0028875229511579835,0.0252610675444849,0.010312787640328135,0.05873150577792397,0.023977036830205953,6
260,2.5,10.0,30.89397089397089,10.11111111111111,28.27160677160677,10.125,26.0,10.123911062876383,4.101738929748535,3.893811947260147,0.11124793432485736,0.1052328623757195,0.13098377812663523,-0.0257509157509157,1.8355989125219896,21.796264047165195,184.33333333333334,0.25343455436381146,0.20000000000000004,1.499503090013557,0.18785470430490994,2.5,0.17806079906919148,0.07269301681862683,0.17398881815662132,0.07103063757226859,0.2277100170213241,0.0929622251704527,11.903075155138469,4.859410083348161,0.006891930477145976,0.0028136188352906404,0.030888170815074122,0.012610042930809797,0.06848492271891923,0.027958852622548554,6
270,2.5,10.0,28.10845460845461,10.166666666666666,28.038362538362538,10.130952380952381,27.0,10.111706256866455,3.947324593861898,3.74507639143202,0.12152665485998816,0.09821113630637436,0.12862685815066763,-0.030415721844293198,1.8736685403352071,19.952252112302432,194.0,0.2586942505759389,0.20000000000000004,1.5346658578062922,0.1811848894397126,2.5,0.16620649476617158,0.06785351735228054,0.08401085125894117,0.034297286406876605,0.08740073734751312,0.03568120160740334,9.416766368579012,3.844378771669981,0.004715085740684943,0.0019249256930251653,0.03997240908687479,0.016318667675438818,0.061557961024507946,0.025130932352696478,6
280,2.5,10.0,39.174289674289675,10.180555555555555,29.597168597168594,10.168650793650793,28.0,10.1370743115743,3.818549712498983,3.620383682705107,0.1332244332244332,0.1015549076773566,0.12609329446064135,-0.0245383867832847,1.9041926541926542,27.331915109081223,173.66666666666666,0.2645162197897612,0.20000000000000004,2.0696827708768235,0.1796870829486601,2.5,0.10282048480708755,0.04197628714715909,0.13211961757608262,0.053937608012175085,0.22463962910173024,0.09170874455121764,11.21073095187539,4.576761745953444,0.00423105753210748,0.00172732200433713,0.02096270570490924,0.008557988767526266,0.036721601716816925,0.014991531123985366,6
