n_agents,seed,height,k_line,q_line,k_lines,q_lines,k_domain,q_domain,u_mean,u_from_flux,stopped_frac,segregation_raw,segregation_null,segregation_excess,contacts_per_ant_per_s,contacts_per_transit,n_transits,mean_duration,median_duration,T0,delta_T,d_contact
10,0,10.0,0.9875259875259875,1.2916666666666667,0.9884169884169882,1.2678571428571428,1.0,1.2927181720733643,13.053709983825684,12.927181720733643,0.002494802494802495,0.5632653061224491,0.5289795918367346,0.034285714285714475,0.28274428274428276,0.5925925925925926,27,0.15000000000000002,0.15000000000000002,1.4234693877551017,0.1760204081632651,2.5
10,1,10.0,1.0166320166320166,1.2916666666666667,1.0100980100980101,1.2916666666666667,1.0,1.2848325967788696,12.980162620544434,12.848325967788696,0.0,0.5591836734693877,0.5069387755102042,0.05224489795918352,0.2577962577962578,1.0344827586206897,29,0.14112903225806453,0.15000000000000002,1.370055970149254,0.1889458955223879,2.5
10,2,10.0,1.0062370062370063,1.25,0.9958419958419957,1.2261904761904763,1.0,1.2424663305282593,12.535368919372559,12.424663305282593,0.0,0.6122448979591838,0.5371428571428571,0.07510204081632665,0.23700623700623702,0.7307692307692307,26,0.1535087719298246,0.15000000000000002,1.5189683860232943,0.12404326123128157,2.5
10,3,10.0,0.9064449064449065,1.125,0.9741609741609742,1.2023809523809523,1.0,1.2215728759765625,12.342281341552734,12.215728759765625,0.0,0.6000000000000001,0.5420408163265306,0.05795918367346953,0.2203742203742204,0.6538461538461539,26,0.16320754716981128,0.15000000000000002,1.5299031476997584,0.12191283292978188,2.5
10,4,10.0,0.9667359667359667,1.3333333333333333,0.984852984852985,1.3214285714285714,1.0,1.3345592021942139,13.456233024597168,13.345592021942139,0.0,0.6775510204081633,0.5453061224489797,0.1322448979591836,0.2079002079002079,0.3793103448275862,29,0.14500000000000002,0.15000000000000002,1.4351910828025474,0.07085987261146534,2.5
10,5,10.0,1.0561330561330562,1.3333333333333333,0.9845559845559847,1.25,1.0,1.2640316486358643,12.764452934265137,12.640316486358643,0.0004158004158004158,0.7020408163265306,0.5379591836734693,0.1640816326530613,0.20374220374220375,0.7777777777777778,27,0.14591836734693878,0.15000000000000002,1.4765873015873012,0.15391156462585037,2.5
20,0,10.0,1.9417879417879418,2.3333333333333335,2.0311850311850312,2.416666666666667,2.0,2.394320487976074,12.152450561523438,11.971602439880371,0.0006237006237006237,0.5061224489795919,0.416734693877551,0.08938775510204089,0.49480249480249483,1.5849056603773586,53,0.14033613445378154,0.15000000000000002,1.4406560636182904,0.14994319795512642,2.5
20,1,10.0,2.0997920997921,2.5,2.0822690822690824,2.482142857142857,2.0,2.4367685317993164,12.352837562561035,12.183842658996582,0.00010395010395010396,0.4653061224489796,0.4371428571428571,0.02816326530612251,0.38253638253638256,2.0,58,0.13885869565217393,0.15000000000000002,1.5293103448275864,0.1124999999999999,2.5
20,2,10.0,2.006237006237006,2.4166666666666665,2.028809028809029,2.345238095238095,2.0,2.330557107925415,11.820009231567383,11.652785539627075,0.00010395010395010396,0.4448979591836734,0.41714285714285715,0.02775510204081627,0.4490644490644491,1.5925925925925926,54,0.1527777777777778,0.15000000000000002,1.486484272608126,0.15964941022280477,2.5
20,3,10.0,2.058212058212058,2.4166666666666665,2.077220077220077,2.398809523809524,2.0,2.367720603942871,11.992830276489258,11.838603019714355,0.001975051975051975,0.5244897959183673,0.42653061224489797,0.09795918367346934,0.4074844074844075,1.6140350877192982,57,0.15535714285714286,0.15000000000000002,1.4728853084587668,0.18310366758532948,2.5
20,4,10.0,2.0311850311850312,2.5833333333333335,2.02999702999703,2.517857142857143,2.0,2.5029218196868896,12.675573348999023,12.514609098434448,0.0,0.5163265306122449,0.4204081632653061,0.09591836734693876,0.4968814968814969,1.4181818181818182,55,0.1364016736401674,0.15000000000000002,1.4235667293233072,0.10325422932330865,2.5
20,5,10.0,1.920997920997921,2.3333333333333335,1.9997029997029998,2.404761904761905,2.0,2.4232871532440186,12.282718658447266,12.116435766220093,0.0007276507276507277,0.546938775510204,0.4281632653061224,0.11877551020408156,0.43243243243243246,1.5769230769230769,52,0.13798076923076924,0.15000000000000002,1.5284041630529053,0.08564614050303576,2.5
30,0,10.0,3.0166320166320166,3.3333333333333335,3.0659340659340657,3.4345238095238098,3.0,3.406073570251465,11.56078052520752,11.353578567504883,0.0010395010395010396,0.38367346938775504,0.380952380952381,0.0027210884353740528,0.6431046431046431,2.2533333333333334,75,0.1363146551724138,0.15000000000000002,1.5552097428958054,0.08762881232434676,2.5
30,1,10.0,2.941787941787942,3.375,2.9815859815859818,3.404761904761905,3.0,3.4588065147399902,11.72790241241455,11.5293550491333,0.0003465003465003465,0.4285714285714285,0.3643537414965987,0.06421768707482978,0.6431046431046431,1.75,72,0.1394396551724138,0.15000000000000002,1.4536441586280815,0.11101286173633453,2.5
30,2,10.0,3.0145530145530146,3.3333333333333335,3.1081081081081083,3.3273809523809526,3.0,3.294571876525879,11.185321807861328,10.981906255086264,0.011434511434511435,0.4489795918367347,0.34367346938775517,0.10530612244897952,0.6029106029106029,2.5526315789473686,76,0.1581609195402299,0.15000000000000002,1.4740904117083844,0.2057687046915606,2.5
30,3,10.0,2.941787941787942,3.2916666666666665,2.984852984852985,3.2499999999999996,3.0,3.2772698402404785,11.134553909301758,10.924232800801596,0.0002772002772002772,0.4,0.3659863945578232,0.0340136054421768,0.7054747054747055,1.411764705882353,68,0.1418467583497053,0.15000000000000002,1.488240537575425,0.11822545255074053,2.5
