n_agents,seed,height,k_line,q_line,k_lines,q_lines,k_domain,q_domain,u_mean,u_from_flux,stopped_frac,segregation_raw,segregation_null,segregation_excess,contacts_per_ant_per_s,contacts_per_transit,n_transits,mean_duration,median_duration,T0,delta_T,d_contact
75,0,10.0,14.228690228690228,9.208333333333334,14.88090288090288,9.339285714285714,15.0,9.390314102172852,6.538268566131592,6.260209401448567,0.008620928620928621,0.22013605442176873,0.2367891156462585,-0.016653061224489785,1.692030492030492,10.803030303030303,198,0.16823394495412847,0.15000000000000002,1.6529814591177097,0.13936871018919747,2.5
75,1,10.0,14.598752598752599,9.416666666666666,14.97148797148797,9.428571428571429,15.0,9.4423189163208,6.564599990844727,6.2948792775472,0.007151767151767152,0.24081632653061225,0.22927891156462585,0.011537414965986398,1.7785169785169785,10.790816326530612,196,0.16348192019950125,0.15000000000000002,1.6898755198918332,0.12821957357030764,2.5
75,2,10.0,14.623700623700623,9.25,14.971487971487973,9.315476190476192,15.0,9.346510887145996,6.509211540222168,6.231007258097331,0.010783090783090784,0.2125170068027211,0.2328707482993197,-0.020353741496598604,1.6487872487872488,9.899470899470899,189,0.17417619367854742,0.15000000000000002,1.4911318966248532,0.15982152407156724,2.5
80,0,10.0,15.195426195426196,9.166666666666666,16.084051084051087,9.339285714285714,16.0,9.400384902954102,6.136996269226074,5.8752405643463135,0.010472972972972974,0.22193877551020408,0.23183673469387756,-0.009897959183673477,1.6683991683991684,10.441489361702128,188,0.1813239875389408,0.2,1.7278192704437654,0.14514517430288962,2.5
80,1,10.0,16.355509355509355,9.75,16.11078111078111,9.82738095238095,16.0,9.879090309143066,6.4481120109558105,6.1744314432144165,0.0091995841995842,0.18928571428571433,0.22918367346938778,-0.03989795918367345,1.6907484407484408,10.800970873786408,206,0.17087304027051956,0.15000000000000002,1.7766950497392369,0.1356183459567267,2.5
80,2,10.0,15.422037422037421,9.833333333333334,16.100980100980102,9.767857142857144,16.0,9.74025821685791,6.360692501068115,6.087661385536194,0.008264033264033264,0.21122448979591835,0.22806122448979596,-0.016836734693877614,1.6995841995841996,10.879396984924623,199,0.1711926605504587,0.15000000000000002,1.7856541920510587,0.13104148534957938,2.5
85,0,10.0,17.575883575883577,10.25,17.24918324918325,10.071428571428571,17.0,10.026518821716309,6.170540809631348,5.897952248068417,0.009587868411397823,0.20144057623049222,0.22372148859543817,-0.02228091236494595,1.7654396477925889,11.995283018867925,212,0.171848157384317,0.15000000000000002,1.719293583148988,0.1423553914166004,2.5
85,1,10.0,15.442827442827443,10.208333333333334,16.58093258093258,10.148809523809524,17.0,10.148725509643555,6.243585109710693,5.969838535084444,0.009514491867433044,0.21248499399759901,0.2270828331332533,-0.014597839135654295,1.7776690717867187,11.112676056338028,213,0.1692900385250413,0.15000000000000002,1.7023742046170232,0.12638119747214796,2.5
85,2,10.0,15.91891891891892,9.958333333333334,16.738342738342737,9.93452380952381,17.0,9.928041458129883,6.099236011505127,5.840024387135225,0.01609392197627492,0.20192076830732295,0.2232412965186074,-0.021320528211284467,1.7165219518160695,11.178403755868544,213,0.17768595041322313,0.15000000000000002,1.6947221946076063,0.13923736772304907,2.5
90,0,10.0,17.313929313929314,10.0,18.13097713097713,10.125,18.0,10.139861106872559,5.892244338989258,5.633256170484755,0.015176715176715178,0.23401360544217686,0.2239455782312925,0.010068027210884373,1.7592977592977592,12.150485436893204,206,0.1807904411764706,0.15000000000000002,1.5908928959513888,0.15336638571075276,2.5
90,1,10.0,16.85239085239085,10.041666666666666,18.297594297594298,10.11904761904762,18.0,10.126977920532227,5.892242431640625,5.626098844740126,0.014622314622314623,0.2122448979591837,0.21859410430839,-0.006349206349206299,1.7583737583737584,12.004830917874395,207,0.1805438780872307,0.15000000000000002,1.7854151158998521,0.14175817746830224,2.5
90,2,10.0,18.58212058212058,10.375,18.083754083754084,10.166666666666668,18.0,10.120630264282227,5.890072822570801,5.622572369045681,0.011734811734811735,0.20634920634920634,0.22167800453514735,-0.015328798185941017,1.7181797181797183,11.743961352657005,207,0.1799542887873084,0.15000000000000002,1.7519950611268147,0.1426314365885434,2.5
95,0,10.0,19.35758835758836,10.333333333333334,19.63320463320463,10.24404761904762,19.0,10.225300788879395,5.6389360427856445,5.381737257304945,0.017288543604333077,0.17551020408163265,0.2157250268528464,-0.04021482277121374,1.753364700733122,12.941176470588236,204,0.1877933100349476,0.2,1.7218378140149841,0.1554337446745996,2.5
95,1,10.0,22.386694386694387,10.5,19.447876447876446,10.315476190476192,19.0,10.24005126953125,5.645539283752441,5.3895006681743425,0.021665390086442717,0.19828141783029,0.21916219119226635,-0.020880773361976357,1.7192252981726666,13.666666666666666,207,0.18935845213849292,0.2,1.605228109249848,0.16768037518037515,2.5
95,2,10.0,20.166320166320165,10.166666666666666,19.87169587169587,10.136904761904763,19.0,10.107100486755371,5.571537017822266,5.319526571976511,0.015056351898457162,0.20257787325456497,0.2147798066595059,-0.01220193340494094,1.7297297297297298,13.548543689320388,206,0.18818319838056682,0.2,1.6176832978322504,0.16770234347780605,2.5
100,0,10.0,18.058212058212057,10.583333333333334,20.340956340956343,10.648809523809524,20.0,10.649974822998047,5.5895466804504395,5.324987411499023,0.0158004158004158,0.19306122448979593,0.2109387755102041,-0.017877551020408167,1.7351351351351352,12.341013824884792,217,0.18762281332374792,0.2,1.9217613502474276,0.13832254928913673,2.5
100,1,10.0,18.727650727650726,10.333333333333334,20.096228096228096,10.375,20.0,10.383678436279297,5.454671382904053,5.191839218139648,0.01762993762993763,0.16979591836734698,0.20587755102040822,-0.036081632653061246,1.7634095634095635,12.86448598130841,214,0.18969582645602454,0.2,1.676421443887976,0.15958801707518094,2.5
100,2,10.0,19.966735966735968,10.125,20.761211761211765,10.267857142857144,20.0,10.2470064163208,5.372224807739258,5.1235032081604,0.020935550935550936,0.17183673469387756,0.213795918367347,-0.04195918367346943,1.7355509355509355,13.25242718446602,206,0.1926928605654049,0.2,2.085721189665935,0.13556462817905396,2.5
105,0,10.0,21.245322245322246,10.791666666666666,22.11939411939412,10.809523809523808,21.0,10.742854118347168,5.371610641479492,5.115644818260556,0.020057420057420058,0.17706511175898929,0.20684159378036926,-0.029776482021379974,1.7863577863577864,14.256880733944953,218,0.18933717579250722,0.2,1.8209664693348186,0.1540956594868113,2.5
105,1,10.0,21.03950103950104,10.625,21.25066825066825,10.571428571428571,21.0,10.568244934082031,5.279369831085205,5.03249758765811,0.01793881793881794,0.17745383867832845,0.21158406219630707,-0.03413022351797862,1.7717057717057718,14.117924528301886,212,0.19215467143495754,0.2,1.7522309359673882,0.15931408004507636,2.5
105,2,10.0,20.386694386694387,10.333333333333334,20.8978318978319,10.375,21.0,10.428520202636719,5.212441921234131,4.965962001255581,0.02562122562122562,0.1801749271137026,0.20256559766763846,-0.02239067055393587,1.7515097515097515,13.975609756097562,205,0.1951390458964504,0.2,1.8708905753618068,0.14276350158842224,2.5
110,0,10.0,21.45945945945946,10.75,22.41193941193941,10.761904761904761,22.0,10.74841022491455,5.130125522613525,4.885641011324796,0.02543942543942544,0.17625231910946199,0.20103896103896107,-0.024786641929499087,1.7924777924777924,14.606635071090047,211,0.1951075495571489,0.2,1.8205385668167626,0.1528443745625124,2.5
110,1,10.0,18.507276507276508,10.708333333333334,21.25185625185625,10.839285714285714,22.0,10.881674766540527,5.195679187774658,4.946215802972967,0.022207522207522208,0.1777365491651206,0.19881261595547312,-0.02107606679035251,1.8034398034398034,12.678899082568808,218,0.19254873192202895,0.2,1.9831014276068284,0.12083353429150182,2.5
110,2,10.0,21.38045738045738,10.583333333333334,22.258984258984263,10.589285714285714,22.0,10.590755462646484,5.061420917510986,4.813979755748402,0.022453222453222454,0.17922077922077925,0.19361781076066792,-0.014397031539888666,1.7474957474957475,14.52073732718894,217,0.1993186242699546,0.2,1.9809262900627682,0.1507264344831415,2.5
115,0,10.0,23.126819126819125,10.333333333333334,23.547074547074548,10.279761904761907,23.0,10.296483039855957,4.707708358764648,4.476731756459111,0.04405676579589623,0.15066548358473825,0.19609582963620228,-0.04543034605146404,1.7611859350989785,16.0,204,0.21683432560049273,0.2,1.5079579659524922,0.1913377986965968,2.5
115,1,10.0,23.324324324324323,10.666666666666666,23.0956340956341,10.511904761904761,23.0,10.519619941711426,4.813486576080322,4.573747800744099,0.03622887101147971,0.16131322094055012,0.19432120674356695,-0.03300798580301684,1.7770948205730814,14.3125,208,0.20814852492370295,0.2,1.927759897006759,0.1512515758893497,2.5
115,2,10.0,22.415800415800415,10.625,22.474309474309475,10.68452380952381,23.0,10.724471092224121,4.897655487060547,4.6628135183583135,0.0309861701166049,0.16805678793256432,0.19858030168589177,-0.030523513753327458,1.7640784597306336,13.701421800947868,211,0.20251076040172167,0.2,1.987619072175853,0.14201396602244748,2.5
120,0,10.0,25.45945945945946,10.875,24.430056430056432,10.880952380952381,24.0,10.87167739868164,4.765086650848389,4.529865582784017,0.02993762993762994,0.1629251700680272,0.1903401360544218,-0.02741496598639459,1.7875952875952876,15.761467889908257,218,0.20660011630160882,0.2,2.319444604357964,0.13684839238939592,2.5
120,1,10.0,20.266112266112266,10.5,24.915948915948917,10.535714285714286,24.0,10.550102233886719,4.620576858520508,4.395875930786133,0.03996881496881497,0.16530612244897958,0.19170068027210885,-0.026394557823129272,1.777893277893278,15.405940594059405,202,0.21921652699278896,0.2,1.888911274665011,0.15806231443369795,2.5
120,2,10.0,23.96049896049896,10.541666666666666,24.66320166320167,10.553571428571429,24.0,10.583002090454102,4.635432720184326,4.409584204355876,0.03198198198198198,0.1619047619047619,0.19027210884353737,-0.028367346938775462,1.7744282744282744,16.08173076923077,208,0.20936340558484673,0.2,2.1178829957436536,0.14875346394179975,2.5
125,0,10.0,28.804573804573806,10.833333333333334,26.07781407781408,10.767857142857142,25.0,10.749510765075684,4.527833461761475,4.299804306030273,0.038386694386694384,0.15853061224489798,0.18328163265306127,-0.024751020408163293,1.7812889812889814,17.10047846889952,209,0.21716153127917837,0.2,1.8749818433313066,0.17530184519970848,2.5
125,1,10.0,23.61954261954262,10.791666666666666,25.51826551826552,10.839285714285714,25.0,10.859204292297363,4.577126979827881,4.343681716918946,0.03331392931392931,0.15069387755102043,0.187330612244898,-0.03663673469387757,1.8012474012474013,16.19047619047619,210,0.20864265927977843,0.2,2.227079227241684,0.1410186359644841,2.5
