k,k_domain,q_line,q_speed,dataset
1.304,1.1548,1.8,1.6694862630012077,"colony 800, 10 mm bridge"
0.472,0.5624,0.7,0.8579713700917346,"colony 800, 10 mm bridge"
0.748,0.7928,1.1,1.0746830366651894,"colony 800, 10 mm bridge"
0.5,0.8320000000000001,0.7,1.0639901480253717,"colony 800, 10 mm bridge"
0.952,1.04,1.7,1.479269723401592,"colony 800, 10 mm bridge"
0.552,0.6904,1.0,1.0517905808801102,"colony 800, 10 mm bridge"
0.636,0.8188000000000001,1.2,1.1196171557926404,"colony 800, 10 mm bridge"
0.572,0.7572,1.0,1.0214824858165414,"colony 800, 10 mm bridge"
0.548,0.5256000000000001,1.0,0.7860064659501709,"colony 800, 10 mm bridge"
0.976,0.8288,1.5,1.277343999984435,"colony 800, 10 mm bridge"
0.36,0.5075999999999999,0.6,0.8885787026352322,"colony 800, 10 mm bridge"
1.072,0.7652,1.3,1.1169295563523753,"colony 800, 10 mm bridge"
0.272,0.40919999999999995,0.6,0.700385228539586,"colony 800, 10 mm bridge"
0.776,0.5748,1.2,1.0414023078231014,"colony 800, 10 mm bridge"
0.6,0.758,1.3,1.3536776478392916,"colony 800, 10 mm bridge"
0.46,0.5216000000000001,0.8,0.856847580607083,"colony 800, 10 mm bridge"
0.82,0.7948000000000001,1.2,1.2150701620024968,"colony 800, 10 mm bridge"
0.56,0.6516,0.9,0.9555769039212605,"colony 800, 10 mm bridge"
1.024,1.0244,1.3,1.1135094065784692,"colony 800, 10 mm bridge"
1.012,1.2496,1.1,1.305769798730009,"colony 800, 10 mm bridge"
0.828,1.3336000000000001,1.5,1.4920099686810273,"colony 800, 10 mm bridge"
0.996,1.1987999999999999,1.7,1.5584848059019085,"colony 800, 10 mm bridge"
0.796,0.85,1.3,1.3131109053867305,"colony 800, 10 mm bridge"
0.916,0.8204,1.5,1.3602979718341197,"colony 800, 10 mm bridge"
1.072,0.96,1.4,1.3460926178025852,"colony 800, 10 mm bridge"
0.72,0.7488,1.3,1.245977006801774,"colony 800, 10 mm bridge"
0.744,1.0164,1.4,1.5216937610237449,"colony 800, 10 mm bridge"
1.072,0.8944000000000001,1.4,1.3545239082681746,"colony 800, 10 mm bridge"
0.668,0.8615999999999999,1.1,1.2055278686782576,"colony 800, 10 mm bridge"
0.276,0.438,0.6,0.6868992375238201,"colony 800, 10 mm bridge"
0.596,0.9492,1.2,1.2423565219458108,"colony 800, 10 mm bridge"
0.452,0.644,0.9,0.9469287012454395,"colony 800, 10 mm bridge"
0.18340611353711792,0.188646288209607,0.32751091703056767,0.31506030409375674,"colony 800, 10 mm bridge"
0.216,0.3268,0.3,0.560294924331465,"colony 800, 10 mm bridge"
1.08,1.0704,1.7,1.5597577208538376,"colony 800, 10 mm bridge"
0.2727272727272727,0.4168181818181818,0.5681818181818181,0.7047085230084588,"colony 800, 10 mm bridge"
0.356,0.38,0.7,0.6110086303940531,"colony 800, 10 mm bridge"
0.628,0.8236000000000001,1.1,1.1166039177776412,"colony 800, 10 mm bridge"
0.904,0.7936,0.9,0.94690726797079,"colony 800, 10 mm bridge"
0.28,0.6332,0.5,0.8160537910380248,"colony 800, 10 mm bridge"
0.616,1.0692,1.2,1.3024751167763011,"colony 800, 10 mm bridge"
1.088,0.9132,1.4,1.2864289577269756,"colony 800, 10 mm bridge"
1.284,1.3316000000000001,1.6,1.5461205338424542,"colony 800, 10 mm bridge"
2.056,1.0888,1.2,1.2281837893053618,"colony 800, 10 mm bridge"
0.796,0.7556,1.0,1.0887519810336033,"colony 800, 10 mm bridge"
1.076,1.0344,1.2,1.2247800480390725,"colony 800, 10 mm bridge"
0.584,0.874,1.0,1.1396046024982964,"colony 800, 10 mm bridge"
0.82,1.1904,1.4,1.249640521521306,"colony 800, 10 mm bridge"
0.928,1.0572,1.2,1.3201957532218862,"colony 800, 10 mm bridge"
0.652,1.0412000000000001,1.3,1.4306504613836981,"colony 800, 10 mm bridge"
1.26,1.2032,1.5,1.6555645184162757,"colony 800, 10 mm bridge"
1.948,1.3736000000000002,1.8,1.4646486207214893,"colony 800, 10 mm bridge"
0.956,1.0692,1.4,1.2448094680396509,"colony 800, 10 mm bridge"
1.012,0.9628,1.3,1.2376675796184358,"colony 800, 10 mm bridge"
0.16,0.2844,0.3,0.4845197400731434,"colony 800, 10 mm bridge"
0.612,0.5276,0.9,0.7974041342740218,"colony 800, 10 mm bridge"
0.548,0.5508,1.1,0.9111112568361264,"colony 800, 10 mm bridge"
0.32,0.4136,0.5,0.5886381143216546,"colony 800, 10 mm bridge"
0.468,0.53,0.9,0.8665914374938462,"colony 800, 10 mm bridge"
0.48,0.5336000000000001,1.0,0.8424467851878995,"colony 800, 10 mm bridge"
0.252,0.398,0.4,0.586309571986016,"colony 800, 10 mm bridge"
0.408,0.5112,0.7,0.7109696770695259,"colony 800, 10 mm bridge"
0.404,0.40800000000000003,0.8,0.7383247640851169,"colony 800, 10 mm bridge"
0.42,0.47759999999999997,0.8,0.8051724752667817,"colony 800, 10 mm bridge"
0.32,0.3032,0.4,0.48163984042683394,"colony 800, 10 mm bridge"
0.38,0.5780000000000001,0.7,0.801190961960867,"colony 800, 10 mm bridge"
1.208,0.9743999999999999,1.5,1.2635890046456324,"colony 800, 10 mm bridge"
0.356,0.564,0.5,0.7044425331343251,"colony 800, 10 mm bridge"
0.552,0.7168,1.0,0.9561769673161205,"colony 800, 10 mm bridge"
0.352,0.61,0.6,0.6988918181541253,"colony 800, 10 mm bridge"
0.988,1.2664,1.4,1.4373867412190273,"colony 800, 10 mm bridge"
0.5,0.564,0.8,0.8373854375796137,"colony 800, 10 mm bridge"
0.264,0.40599999999999997,0.5,0.5838350672601296,"colony 800, 10 mm bridge"
0.72,0.6388,0.9,0.8111764403781262,"colony 800, 10 mm bridge"
0.244,0.52,0.5,0.6904111332738618,"colony 800, 10 mm bridge"
0.152,0.4136,0.4,0.4954572260107397,"colony 800, 10 mm bridge"
1.164,0.5768,0.7,0.7353945402028258,"colony 800, 10 mm bridge"
