n_agents,seed,height,k_line,q_line,k_lines,q_lines,k_domain,q_domain,u_mean,u_from_flux,stopped_frac,segregation_raw,segregation_null,segregation_excess,contacts_per_ant_per_s,contacts_per_transit,n_transits,mean_duration,median_duration,T0,delta_T,d_contact
75,0,10.0,14.343035343035343,9.333333333333334,15.14968814968815,9.476190476190476,15.0,9.480835914611816,6.5986738204956055,6.320557276407878,0.0056548856548856545,0.22721088435374148,0.23787755102040817,-0.010666666666666685,1.6665280665280666,10.638190954773869,199,0.16746506986027945,0.15000000000000002,1.6502478586936187,0.13788411720357588,2.5
75,1,10.0,14.243243243243244,9.375,15.258687258687258,9.458333333333332,15.0,9.47885513305664,6.588891506195068,6.319236755371094,0.0079002079002079,0.23047619047619047,0.24114285714285713,-0.010666666666666658,1.6826056826056826,10.05050505050505,198,0.17156507413509062,0.15000000000000002,1.6095150347600302,0.14613870508417803,2.5
75,2,10.0,14.565488565488565,9.458333333333334,14.913275913275912,9.482142857142858,15.0,9.524480819702148,6.629049301147461,6.349653879801433,0.006237006237006237,0.24680272108843535,0.2377687074829932,0.009034013605442148,1.6693000693000692,10.208121827411167,197,0.16735303885752245,0.15000000000000002,1.6389134967230823,0.14270713135034926,2.5
80,0,10.0,15.426195426195425,9.541666666666666,15.853281853281853,9.547619047619047,16.0,9.613167762756348,6.271271705627441,6.008229851722717,0.007172557172557173,0.22602040816326532,0.2347959183673469,-0.008775510204081571,1.6855509355509355,11.145,200,0.1750077089115017,0.15000000000000002,1.7268033426719422,0.1394523694327552,2.5
80,1,10.0,16.054054054054053,9.625,16.05256905256905,9.779761904761907,16.0,9.816174507141113,6.409159183502197,6.135109066963196,0.006834719334719335,0.2204081632653061,0.2280612244897959,-0.007653061224489804,1.7182952182952183,11.453658536585365,205,0.17071990320629163,0.15000000000000002,1.5545702066718676,0.1571819027394666,2.5
80,2,10.0,15.014553014553014,9.666666666666666,16.08999108999109,9.720238095238093,16.0,9.706798553466797,6.338720798492432,6.066749095916748,0.006237006237006237,0.2316326530612245,0.22744897959183677,0.004183673469387722,1.7266112266112266,10.758620689655173,203,0.16935580975316078,0.15000000000000002,1.8481626090950856,0.12114147909967846,2.5
85,0,10.0,15.70893970893971,9.833333333333334,16.885951885951886,9.886904761904761,17.0,9.893139839172363,6.093369483947754,5.819494023042567,0.008095878684113978,0.22208883553421369,0.22420168067226887,-0.0021128451380551805,1.7160327748563042,11.307692307692308,208,0.17698118586088943,0.15000000000000002,1.77774669722297,0.13691695874898904,2.5
85,1,10.0,16.534303534303536,10.083333333333334,17.23225423225423,10.071428571428571,17.0,10.086907386779785,6.192873477935791,5.933474933399873,0.007068607068607069,0.20864345738295317,0.2238175270108043,-0.015174069627851117,1.7287513758101993,11.239234449760765,209,0.17475947934352007,0.15000000000000002,1.7062346067738048,0.13652489024447642,2.5
85,2,10.0,16.93762993762994,10.083333333333334,17.324621324621322,10.089285714285714,17.0,10.080245971679688,6.1987409591674805,5.929556453929228,0.007704537116301822,0.21632653061224494,0.2280432172869148,-0.011716686674669852,1.7419591537238597,11.6875,208,0.17344846953103063,0.15000000000000002,1.7197050800737441,0.13782449335444721,2.5
90,0,10.0,16.7027027027027,10.208333333333334,18.03415503415503,10.214285714285714,18.0,10.222371101379395,5.947698593139648,5.679095056321886,0.011411411411411412,0.2095238095238095,0.2166893424036281,-0.007165532879818609,1.7264957264957266,11.695238095238095,210,0.18137543484078136,0.2,1.632607522674289,0.15199609944560222,2.5
90,1,10.0,17.91891891891892,10.041666666666666,18.10840510840511,10.160714285714286,18.0,10.178069114685059,5.916557788848877,5.654482841491699,0.011134211134211135,0.18820861678004538,0.21950113378684805,-0.03129251700680266,1.73989373989374,12.336448598130842,214,0.17924853956452472,0.15000000000000002,1.441202650578578,0.17095933059703947,2.5
90,2,10.0,17.812889812889814,10.25,18.186813186813186,10.273809523809524,18.0,10.248719215393066,5.961180210113525,5.693732897440593,0.008431508431508432,0.20226757369614512,0.2236734693877551,-0.021405895691609972,1.7214137214137215,11.957142857142857,210,0.18067632850241547,0.2,1.944246510826893,0.12367910502841604,2.5
