xi_cruise,xi_spread,c_brake,wasserstein,median,mean,p90,frac_slow
17.0,0.2,150.0,5.21993820943082,16.207193,15.481569,19.226099,0.000592753587394107
21.0,0.2,600.0,5.246084660456025,18.132391,15.680668,23.254293,0.0010869296707097156
19.0,0.35,300.0,5.329029104457576,16.49126,15.765142,23.157898,0.001086795435459171
19.0,0.65,150.0,5.365007015640881,16.115635,15.803355,24.661732,0.00043447564220930866
19.0,0.2,300.0,5.395142118710083,17.313152,15.79863,21.356913,0.00022234300113641977
21.0,0.5,300.0,5.75702771250808,16.837729,16.195375,24.8374,5.479752315195353e-05
21.0,0.65,150.0,6.113617337202116,16.572952,16.551966,24.995579,0.0010232026242137891
19.0,0.5,150.0,6.319583010430458,16.982742,16.757933,24.70142,0.0005599674200773773
19.0,0.35,150.0,6.5428967663801085,17.472836,16.979042,23.354683,0.0007167927233180088
19.0,0.2,150.0,6.544141078411666,17.763647,16.948807,21.422451,0.0009885330170027679
21.0,0.35,300.0,6.971759640443363,18.218395,17.410107,25.057697,2.535754133279237e-05
21.0,0.5,150.0,7.167460888730226,18.0108,17.60581,25.0727,0.0018893996221200757
21.0,0.2,300.0,7.221263327857271,19.251795,17.655844,23.61278,0.000321360591303488
21.0,0.35,150.0,8.072879727613836,19.136934,18.511229,25.250553,0.0007632034191513178
21.0,0.2,150.0,8.374529719537774,19.691784,18.809114,23.709925,0.001261626756382347
