n_agents,c_comm,seed,segregation_raw,segregation_null,segregation_excess,k_domain,q_domain,u_mean,contacts_per_ant_per_s,stopped_frac
60,0.0,0,0.6149659863945578,0.27047619047619054,0.34448979591836726,6.0,6.540017127990723,11.070343971252441,0.5107415107415108,0.0018364518364518364
60,0.0,1,0.426530612244898,0.25850340136054417,0.16802721088435385,6.0,6.1898016929626465,10.540214538574219,0.7934857934857935,0.0012474012474012475
60,0.0,2,0.5421768707482993,0.27727891156462586,0.2648979591836735,6.0,6.5048828125,11.04822826385498,0.6237006237006237,0.001386001386001386
60,0.0,3,0.3312925170068027,0.2677551020408163,0.06353741496598636,6.0,5.950911998748779,10.141104698181152,0.8995148995148995,0.002668052668052668
60,0.0,4,0.7040816326530611,0.2636734693877551,0.440408163265306,6.0,7.038069248199463,11.899864196777344,0.46084546084546085,0.0010741510741510741
60,0.0,5,0.3333333333333333,0.2529251700680272,0.08040816326530609,6.0,6.115160942077637,10.426487922668457,0.8288288288288288,0.0029106029106029108
60,1.0,0,0.4448979591836735,0.27102040816326534,0.17387755102040814,6.0,6.108853340148926,10.391075134277344,0.772002772002772,0.004365904365904366
60,1.0,1,0.4714285714285715,0.2612244897959184,0.21020408163265308,6.0,6.167333602905273,10.494002342224121,0.7512127512127512,0.008766458766458766
60,1.0,2,0.42040816326530606,0.2682993197278911,0.15210884353741494,6.0,6.283097743988037,10.694994926452637,0.8350658350658351,0.0020097020097020095
60,1.0,3,0.382312925170068,0.26163265306122446,0.12068027210884352,6.0,6.028120517730713,10.276832580566406,0.878031878031878,0.01243936243936244
60,1.0,4,0.5387755102040817,0.27482993197278904,0.2639455782312926,6.0,6.512994766235352,11.065346717834473,0.6992376992376992,0.0034996534996534997
60,1.0,5,0.5136054421768708,0.26789115646258504,0.24571428571428572,6.0,6.295756816864014,10.70682144165039,0.7318087318087318,0.00148995148995149
