n_agents,c_comm,seed,segregation_raw,segregation_null,segregation_excess,k_domain,q_domain,u_mean,contacts_per_ant_per_s,stopped_frac,segregation_excess_err,segregation_raw_err,q_domain_err,contacts_per_ant_per_s_err,u_mean_err
60,0.0,2.5,0.4920634920634921,0.2651020408163265,0.22696145124716546,6.0,6.389807303746541,10.854373931884766,0.6861861861861862,0.0018537768537768,0.06122910959306643,0.0626910928876825,0.15959436808278482,0.07367337631178121,0.2561124762644788
60,1.0,2.5,0.4619047619047619,0.26748299319727886,0.19442176870748296,6.0,6.232692797978719,10.604845523834229,0.7778932778932779,0.005428505428505367,0.022630230982981562,0.023817944736957107,0.069891529293805,0.027296809664883744,0.11491501694651401
60,2.0,2.5,0.3742630385487528,0.26199546485260766,0.11226757369614505,6.0,6.128697315851848,10.440398852030436,0.8633633633633634,0.004129129129129084,0.008629284398846302,0.0087160117434139,0.03364346991537587,0.022661876166168358,0.05505397441741039
60,3.0,2.5,0.40283446712018134,0.26843537414965984,0.13439909297052147,6.0,6.126952648162842,10.439624150594076,0.8719103719103719,0.002979902979902933,0.027585615114019732,0.02925666606945575,0.060973572206609136,0.03533733536789798,0.09790489838714425
60,4.0,2.5,0.3664399092970521,0.26426303854875277,0.10217687074829929,6.0,5.961117664972941,10.165874004364014,0.9343959343959344,0.005567105567105533,0.02762603935049566,0.02658385648934757,0.07041272159220448,0.028215522246284885,0.11535310353881927
60,6.0,2.5,0.3488662131519274,0.26133786848072565,0.0875283446712018,6.0,5.919622977574666,10.099808057149252,0.9673134673134673,0.0040887040887040505,0.014400946191024225,0.01498598608705972,0.04980832789661496,0.011701136512452727,0.08417548802649191
60,8.0,2.5,0.32052154195011334,0.2585260770975057,0.06199546485260767,6.0,5.833379904429118,9.956190427144369,1.0136290136290136,0.0028297528297527665,0.011315206376463561,0.013868674261465699,0.08672756812269464,0.03414023992169356,0.14293274017644897
60,10.0,2.5,0.3131519274376417,0.2559410430839002,0.05721088435374145,6.0,5.728944540023804,9.790021896362305,1.1018711018711018,0.0018364518364517833,0.011508936207597097,0.013012791279123734,0.0330574368162297,0.012370919694151916,0.05317962210522687
60,12.0,2.5,0.29274376417233555,0.2511111111111111,0.04163265306122447,6.0,5.598104000091553,9.572443326314291,1.1495726495726495,0.005549780549780483,0.01376603632680759,0.014693107675584651,0.09483352199133326,0.018077815965003463,0.1575732728224352
60,16.0,2.5,0.2825396825396825,0.23929705215419497,0.04324263038548746,6.0,5.355618874231975,9.170394897460938,1.2349272349272349,0.0026449526449525834,0.007272437977204091,0.011729735935987981,0.09947228228758237,0.03726514169810954,0.16677887762661395
60,20.0,2.5,0.24523809523809517,0.2404081632653061,0.004829931972789116,6.0,5.292356252670288,9.079329331715902,1.3135828135828136,0.002188727188727133,0.010726218025359844,0.010542754634800951,0.02604783279330499,0.02068638990503241,0.04410153546512518
60,24.0,2.5,0.25510204081632654,0.22950113378684803,0.025600907029478398,6.0,5.053258180618286,8.685810248057047,1.3564333564333564,0.0031416031416031,0.006365584641549742,0.0020483609597525976,0.062134079264711616,0.015229906719999473,0.10709021630856883
150,0.0,2.5,0.3848979591836734,0.17151020408163256,0.2133877551020408,15.0,9.967433452606201,6.857971588770549,1.2411180411180411,0.051757911757911716,0.01677120218043456,0.016525133700182482,0.14461468388027363,0.027019626108879796,0.09870099803170373
150,1.0,2.5,0.3706122448979592,0.17363265306122447,0.19697959183673464,15.0,9.906790415445963,6.818321784337361,1.261030261030261,0.04692769692769688,0.03375549632762781,0.03354900840491228,0.0794829526528405,0.052515781713118354,0.05212425292046324
150,2.0,2.5,0.2964172335600907,0.1690884353741496,0.127328798185941,15.0,9.664904435475668,6.676063855489095,1.386832986832987,0.043866943866943835,0.043328819261981996,0.044206238415548896,0.11183854017224559,0.061751901873731425,0.0705535344918252
150,3.0,2.5,0.2790022675736961,0.1740045351473923,0.10499773242630382,15.0,9.561088562011719,6.606871048609416,1.4235620235620237,0.04337722337722332,0.03622023816156088,0.03697815795929394,0.06817124292458239,0.047372965075888916,0.044727723936356954
150,4.0,2.5,0.3114285714285714,0.1697959183673469,0.14163265306122447,15.0,9.743149280548096,6.724372227986653,1.4067452067452066,0.04043428043428037,0.04093608372356134,0.04120945970292186,0.10743408104956423,0.05686793319423886,0.06448480695180782
150,6.0,2.5,0.2150113378684807,0.16903401360544212,0.04597732426303853,15.0,9.601764996846518,6.651403427124023,1.5556479556479557,0.024703164703164665,0.024826979519845225,0.023794349986150376,0.063385404080388,0.03877152359261343,0.048570883091955785
150,8.0,2.5,0.17691609977324255,0.16870748299319727,0.008208616780045334,15.0,9.477654298146566,6.583062251408895,1.6407022407022407,0.01979440979440975,0.009287245754560707,0.009184608446008895,0.031087159113789224,0.00851758967141496,0.020539465210210696
150,10.0,2.5,0.18054421768707482,0.17003174603174598,0.010512471655328781,15.0,9.383469581604006,6.51993727684021,1.6536844536844537,0.019173019173019116,0.006971191602114494,0.006861154928933538,0.060422167638691474,0.00786769288629905,0.041941832410297246
150,12.0,2.5,0.17596371882086168,0.17047619047619045,0.005487528344671216,15.0,9.384971459706625,6.526321490605672,1.6745206745206744,0.013120813120813068,0.007060588025848567,0.007586150770755991,0.051290201195280306,0.012027727516547449,0.03424176982917175
